rank,partikelverb,basverb,partikel,betydelse_en,cefr,band,betonad_or_klass,flag
853,frysa ut,frysa,ut,"ostracize, freeze out socially",B2,9,plain,
854,fråga om,fråga,om,ask again,B2,9,plain,
855,fråga ut,fråga,ut,"question in detail, interrogate",B2,9,plain,
856,fälla ut,fälla,ut,"fold out, spread out; precipitate (chemistry)",B2,9,plain,
857,följa upp,följa,upp,"follow up, monitor the result of",B1,9,plain,
858,föra med sig,föra,med,"bring along; entail, cause",B2,9,refl,
859,föra upp,föra,upp,"enter, record (in accounts)",B1,9,plain,
860,föra över,föra,över,transfer (money between accounts),B2,9,plain,
861,gripa sig an,gripa,an,"set about, tackle (a task)",B2,9,refl,
862,haka på,haka,på,"latch on close behind, tag along",B2,9,plain,
863,haka upp sig,haka,upp,"jam, get stuck (a machine); fixate on",B2,9,refl,
864,hinna upp,hinna,upp,catch up with,B2,9,plain,
865,hugga av,hugga,av,chop off,B2,9,plain,
866,hugga för sig,hugga,för,grab a big share brazenly,B2,9,refl,
867,hugga till,hugga,till,hurt with a sudden stab,B2,9,plain,
868,hugga till med,hugga,till,venture a guess,B2,9,v+p+prep,
869,hugga upp,hugga,upp,chop up (firewood),B2,9,plain,
870,hyra in,hyra,in,hire (temporary staff),B2,9,plain,
871,härda ut,härda,ut,"endure, stick it out",B2,9,plain,
872,häva upp,häva,upp,heave up; let out (a loud cry),B2,9,plain,
873,häva ur sig,häva,ur,blurt out (something offensive),B2,9,refl,
874,kamma hem,kamma,hem,"win, pull off a success",B2,9,plain,
875,kamma in,kamma,in,rake in (money),B2,9,plain,
876,kavla upp,kavla,upp,roll up (sleeves),B2,9,plain,
877,kavla ut,kavla,ut,roll out flat (dough),B2,9,plain,
878,klappa igen,klappa,igen,shut down (a shop),B2,9,plain,
879,klappa ihop,klappa,ihop,collapse physically,B2,9,plain,
880,klappa på,klappa,på,knock (on the door),B2,9,plain,
881,klara upp,klara,upp,"solve (a crime), clear up",B2,9,plain,
882,klara ut,klara,ut,"sort out, resolve",B2,9,plain,
883,klippa av,klippa,av,cut through; cut someone off curtly,B2,9,plain,
884,klippa ner,klippa,ner,"cut back, prune (plants)",B2,9,plain,
885,klippa till,klippa,till,hit someone; strike while the chance is there; cut to shape,B2,9,plain,
886,klämma fram,klämma,fram,force out (words) reluctantly,B2,9,plain,
887,klämma i,klämma,i,burst into loud song or playing,B2,9,plain,
888,klämma i sig,klämma,i,force food down,B2,9,refl,
889,klämma till,klämma,till,"squeeze hard; hit, hurt",B2,9,plain,
890,klämma till med,klämma,till,venture a guess,B2,9,v+p+prep,
891,klämma åt,klämma,åt,squeeze tight; crack down on someone,B2,9,plain,
892,knyta an till,knyta,an,"connect to, relate to",B2,9,v+p+prep,
893,knyta till sig,knyta,till,"recruit, attach (people) to oneself",B2,9,refl,
894,knyta upp,knyta,upp,untie,B2,9,plain,
895,knyta åt,knyta,åt,tie tightly,B2,9,plain,
896,knäppa av,knäppa,av,switch off,B2,9,plain,
897,knäppa ihop,knäppa,ihop,"button up, fasten together",B2,9,plain,
898,knäppa på,knäppa,på,switch on; pluck (strings),B2,9,plain,
899,knäppa till,knäppa,till,fasten (a button); turn suddenly cold,B2,9,plain,
900,koppla på,koppla,på,switch on (electricity),B2,9,plain,
901,koppla ur,koppla,ur,disconnect (electricity),B2,9,plain,
902,kosta på,kosta,på,invest money in; be taxing (impersonal),C1,9,plain,
903,kränga av sig,kränga,av,pull off (clothes) hastily,B2,9,refl,
904,kränga på sig,kränga,på,pull on (clothes) hastily,B2,9,refl,
906,kännas vid,kännas,vid,"acknowledge, own up to",B2,9,plain,
908,ladda om,ladda,om,reload,B2,9,plain,
909,ladda ur,ladda,ur,discharge (a battery),B2,9,plain,
910,leva kvar,leva,kvar,"survive, live on",B2,9,plain,
911,leva om,leva,om,live over again; make a mess or racket,B1,9,plain,
912,leva sig in i,leva,in,"immerse oneself in, empathize with",B2,9,refl,
913,leva upp,leva,upp,use up (money); come back to life,B2,9,plain,
914,leva upp till,leva,upp,live up to,B2,9,v+p+prep,
915,leva ut,leva,ut,"act out, give expression to",B2,9,plain,
916,linda in,linda,in,"wrap up; soften, sugar-coat (criticism)",B2,9,plain,
917,linda om,linda,om,"bandage, wrap around",B2,9,plain,
918,lugna ner sig,lugna,ner,calm down,B2,9,refl,
919,lura av,lura,av,trick someone out of (money),B2,9,plain,
920,lura i,lura,i,make someone believe a falsehood,B2,9,plain,
921,lura på,lura,på,foist something unwanted onto; ponder,B2,9,plain,
922,lura till sig,lura,till,obtain by trickery,B2,9,refl,
923,lura ur,lura,ur,coax (secrets) out by trickery,B2,9,plain,
924,lura ut,lura,ut,entice someone out; figure out,B2,9,plain,
925,lysa upp,lysa,upp,light up (a room); brighten (a face),B2,9,plain,
927,låsa sig ute,låsa,ute,lock oneself out,B2,9,refl,
928,låsa upp,låsa,upp,unlock,B2,9,plain,
929,lämna av,lämna,av,"drop off, deliver",B2,9,plain,
930,lämna upp,lämna,upp,deliver up,B2,9,plain,
931,lätta upp,lätta,upp,lighten (a mood),B2,9,plain,
932,lösa av,lösa,av,"relieve, take over from",B2,9,plain,
933,lösa in,lösa,in,"cash, redeem",B2,9,plain,
934,lösa upp,lösa,upp,dissolve,B2,9,plain,
935,lösa ut,lösa,ut,trigger (an alarm); collect against payment,B2,9,plain,
936,muta in,muta,in,"stake a claim to (land, a research field)",B2,9,plain,
937,måla av,måla,av,paint a likeness of,B2,9,plain,
938,måla om,måla,om,repaint,B2,9,plain,
939,måla upp,måla,upp,paint a tempting picture of,C1,9,plain,
940,måla ut,måla,ut,portray negatively,B2,9,plain,
941,mäta ut,mäta,ut,measure out a position; seize property for debt,B2,9,plain,
942,nöta in,nöta,in,drill in by repetition,B2,9,plain,
944,ordna in,ordna,in,arrange into a system,B2,9,plain,
945,ordna om,ordna,om,rearrange,B2,9,plain,
946,ordna upp,ordna,upp,"put in order, sort out",B2,9,plain,
947,packa om,packa,om,repack,B2,9,plain,
948,packa sig iväg,packa,iväg,clear off quickly,B2,9,refl,
949,passa upp,passa,upp,"wait on, serve",B2,9,plain,
950,plocka av,plocka,av,pick everything off; help oneself from,B2,9,plain,
951,plocka ner,plocka,ner,take down; dismantle,B2,9,plain,
952,plöja igenom,plöja,igenom,plough through (a lot of text),B2,9,plain,
953,plöja ner,plöja,ner,plough under; invest heavily,B2,9,plain,
954,plöja upp,plöja,upp,plough up (a field),B2,9,plain,
955,prata av sig,prata,av,unburden oneself by talking,B2,9,refl,
956,prata bort,prata,bort,chat away (time); talk someone's objections aside,B2,9,plain,
958,prata på,prata,på,keep on talking,B2,9,plain,
959,pröva på,pröva,på,"get a taste of, experience",B2,9,plain,
960,pröva ut,pröva,ut,"test until right, calibrate",B2,9,plain,
961,pyssla om,pyssla,om,"tend to, care for",B2,9,plain,
962,reda upp,reda,upp,straighten out (a tangled situation),B2,9,plain,
964,rikta in sig på,rikta,in,"aim for, set one's sights on",B2,9,refl,
965,rusta ner,rusta,ner,"disarm, reduce armaments",B2,9,plain,
966,rusta upp,rusta,upp,rearm; renovate,B2,9,plain,
967,rycka till,rycka,till,"flinch, jerk",B2,9,plain,
968,rycka till sig,rycka,till,snatch to oneself,B2,9,refl,
969,rycka upp sig,rycka,upp,"pull oneself together, cheer up",B2,9,refl,
970,rycka ut,rycka,ut,yank out; rush out on an emergency call; finish military service,C1,9,plain,
971,ryka ihop,ryka,ihop,fly at each other,B2,9,plain,
972,ryka på,ryka,på,"attack, fly at",B2,9,plain,
973,rå för,rå,för,"be to blame for, be able to help",B2,9,plain,
974,rå om,rå,om,own,B2,9,plain,
975,rå på,rå,på,"be stronger than, get the better of",B2,9,plain,
976,råka på,råka,på,run into by chance,B2,9,plain,
977,råka ut för,råka,ut,"be the victim of, meet with",B2,9,v+p+prep,
978,röra ihop,röra,ihop,"stir together quickly; mix up, confuse",B2,9,plain,
979,röra ner,röra,ner,stir in,B2,9,plain,
980,röra om,röra,om,stir around,B2,9,plain,
981,röra till,röra,till,make a mess,B2,9,plain,
982,röra upp,röra,upp,stir up (dust); stir up (feelings),B2,9,plain,
983,röra ut,röra,ut,dissolve by stirring,B2,9,plain,
984,sadla av,sadla,av,unsaddle,B2,9,plain,
985,sadla om,sadla,om,change career or direction,B2,9,plain,
986,sjunga ut,sjunga,ut,speak one's mind openly,B2,9,plain,
987,skjuta fram,skjuta,fram,push forward; postpone,B2,9,plain,
988,skjuta ner,skjuta,ner,shoot down,B2,9,plain,
989,skjuta på,skjuta,på,push from behind; postpone,B2,9,plain,
990,skjuta till,skjuta,till,push shut; contribute (money),B2,9,plain,
991,skratta till,skratta,till,give a sudden laugh,B2,9,plain,
992,skratta ut,skratta,ut,laugh someone to scorn; laugh oneself out,B2,9,plain,
993,skruva av,skruva,av,unscrew,B2,9,plain,
994,skruva i,skruva,i,screw in,B2,9,plain,
995,skruva på,skruva,på,turn on (a tap),B2,9,plain,
996,skynda till,skynda,till,rush to help,B2,9,plain,
997,skälla ut,skälla,ut,"scold, tell off",B2,9,plain,
998,skära ihop,skära,ihop,seize up (an engine),B2,9,plain,
999,smälla av,smälla,av,set off (fireworks); explode with emotion (slang),C1,9,plain,
1000,smälla ihop,smälla,ihop,slam shut; concoct (an excuse),B2,9,plain,
1001,smälla till,smälla,till,"swat, strike",B2,9,plain,
1002,smälla upp,smälla,upp,throw up (buildings) quickly,B2,9,plain,
1004,snappa upp,snappa,upp,pick up (news) by chance,B2,9,plain,
1005,snappa åt sig,snappa,åt,snatch up,B2,9,refl,
1006,spåra ur,spåra,ur,derail (a train); degenerate (a discussion),B2,9,plain,
1007,spänna av,spänna,av,unfasten; relax (colloquial),B2,9,plain,
1008,spänna fast,spänna,fast,"fasten, buckle",A2,9,plain,
1009,spänna åt,spänna,åt,tighten (a belt),B2,9,plain,
1010,spärra av,spärra,av,"cordon off, block",B2,9,plain,
1011,spärra in,spärra,in,"lock up, imprison",B2,9,plain,
1012,spärra upp,spärra,upp,open wide (the eyes),B2,9,plain,
1013,spöka ut sig,spöka,ut,dress up outlandishly,B2,9,refl,
1014,sticka av,sticka,av,stand out against the surroundings,C1,9,plain,
1015,sticka emellan,sticka,emellan,interject,B2,9,plain,
1016,sticka till,sticka,till,give a sudden stab of pain; slip something to someone secretly,B2,9,plain,
1017,sticka åt,sticka,åt,slip to someone secretly,B2,9,plain,
1018,stjälpa av,stjälpa,av,tip off (a load),B2,9,plain,
1019,stjälpa i sig,stjälpa,i,gulp down (a drink),B2,9,refl,
1020,streta emot,streta,emot,"resist, struggle against",B2,9,plain,
1021,streta på,streta,på,toil on despite difficulty,B2,9,plain,
1022,stryka av,stryka,av,wipe off,B2,9,plain,
1023,stryka för,stryka,för,"mark, highlight (in a text)",B2,9,plain,
1024,stryka med,stryka,med,"perish, be lost",B2,9,plain,
1025,stryka om,stryka,om,iron again,B2,9,plain,
1026,stryka på,stryka,på,brush on (paint),B2,9,plain,
1027,stryka under,stryka,under,underline; emphasize,B2,9,plain,
1028,stryka ut,stryka,ut,spread out evenly (paint); erase,B2,9,plain,
1029,stråla samman,stråla,samman,converge from different directions,B2,9,plain,
1031,stöta bort,stöta,bort,"push away, repel (people)",B2,9,plain,
1032,stöta ihop med,stöta,ihop,run into unexpectedly,B2,9,v+p+prep,
1033,stöta på,stöta,på,"bump into (a person); prompt, remind; make a pass at",B2,9,plain,
1034,stöta till,stöta,till,bump into accidentally,B2,9,plain,
1035,stöta upp,stöta,upp,"bring up, regurgitate",B2,9,plain,
1036,stöta ut,stöta,ut,push out (a boat); ostracize,B2,9,plain,
1037,suga ut,suga,ut,"suck out (air); exploit, bleed dry",B2,9,plain,
1038,suga åt sig,suga,åt,absorb,B2,9,refl,
1039,sy in,sy,in,take in (a garment); imprison (slang),C1,9,plain,
1040,sy om,sy,om,alter (a garment),B2,9,plain,
1041,sy upp,sy,upp,shorten (a garment); sew up a batch,B2,9,plain,
1042,titta efter,titta,efter,check carefully; gaze after,B2,9,plain,
1043,titta till,titta,till,"look in on, check on",B2,9,plain,
1044,titta över,titta,över,drop by; review,B2,9,plain,
1045,tjäna av,tjäna,av,serve out (a prison sentence),B2,9,plain,
1046,tjäna in,tjäna,in,save (time or money),B2,9,plain,
1047,tjäna ut,tjäna,ut,be worn out after long service,B2,9,plain,
1048,tona bort,tona,bort,fade away (sound),B2,9,plain,
1049,tona fram,tona,fram,emerge into view,B2,9,plain,
1050,tona ut,tona,ut,fade out (sound),B2,9,plain,
1051,trycka av,trycka,av,pull the trigger,B2,9,plain,
1053,trycka upp,trycka,upp,push up into; call (an elevator); print a large run,B2,9,plain,
1054,träda emellan,träda,emellan,"intervene, mediate",B2,9,plain,
1055,träda fram,träda,fram,"come forward, reveal oneself",B2,9,plain,
1056,tända på,tända,på,set fire to; be turned on by,B2,9,plain,
1057,tända till,tända,till,"flare up in anger; spark (attraction, impersonal)",C1,9,plain,
1058,varva ner,varva,ner,"slow the revs; wind down, relax",B1,9,plain,
1059,veckla av,veckla,av,unwrap,B2,9,plain,
1060,veckla in,veckla,in,wrap up,B2,9,plain,
1061,veckla in sig,veckla,in,get tangled up in (explanations),B2,9,refl,
1062,veckla ut,veckla,ut,unfold,B2,9,plain,
1063,vräka i sig,vräka,i,"devour, gobble",B2,9,refl,
1064,vräka ur sig,vräka,ur,blurt out (offensive things),B2,9,refl,
1065,växla in,växla,in,be switched onto another track; exchange (currency),B2,9,plain,
1066,växla ner,växla,ner,shift to a lower gear,B2,9,plain,
1067,växla om,växla,om,take turns; switch (channels),B2,9,plain,
1068,ösa på,ösa,på,ladle on more; speed up (slang),C1,9,plain,
1069,ösa över,ösa,över,pour into another container; shower (someone with gifts),B2,9,plain,
